feature,cramers_v,p_value
golpes_con_objetos_contundentes,0.049409270620142005,8.746284073104175e-266
botar_casa,0.049115126704296984,1.2255338802335625e-262
hijos_vivos_18_mas,0.04907837013139811,0.0
prohibe_recibir_visitas,0.048622964392243444,2.0466459414786796e-257
etnia_victima,0.04790497791654738,0.0
area_residencia_domicilio,0.047329928363498586,0.0
sis_seguro,0.04562340867193907,0.0
lengua_materna_victima,0.043003491379942575,0.0
abandono,0.04290029757081256,1.5040112156930773e-200
essalud_seguro,0.04251109353711115,0.0
centro_poblado_domicilio,0.04215352546965858,1.506354290065923e-270
ocupacion_victima,0.04175532869314424,6.065091233155918e-264
amenaza_quitar_hijos,0.04071223540018307,1.0983278852423477e-180
otras_agresiones,0.04026361736458625,9.658522048728739e-177
apoyo_emocional,0.03973274942155102,0.0
estado_victima_u_a,0.03945119152578739,0.0
factor_victima_discapacidad,0.03920513723409249,1.3112936171893483e-167
discapacidad_victima,0.03875919235177191,0.0
informante,0.038733994192198605,1.2722584620476785e-163
hijas_vivas_0_17,0.03840300997169485,5.049331260309972e-297
agresor_vive_casa_victima,0.03809606818679107,1.87748306567837e-310
hijas_vivas_18_mas,0.0379276808698409,1.742991317333312e-287
ningun_tratamiento,0.03757458397497322,5.1333789034342905e-154
golpes_con_palos,0.03754837103036827,8.398579316299182e-154
estado_civil_victima,0.0372276092287555,2.7439279058277594e-296
victima_extranjera,0.03718438706297634,7.54351859092096e-151
victima_peruana,0.03694486388418206,6.38810074322758e-149
agresor_extranjero,0.036563286427385204,3.366880316299641e-288
interpuso_denuncia,0.03648859487676182,2.774441495402709e-145
agresor_peruano,0.0363023087901721,4.470439071204e-284
agresor_cuenta_dni,0.03577728441801769,7.166991295212991e-276
cuenta_medidas_cautelares,0.03572542733963992,4.562931363317712e-275
donde_interpuso_denuncia,0.03512062774708054,2.7444720406626473e-263
otra_vsex,0.03486324627271924,1.0830131467545534e-132
n_anos,0.03420500111965286,1.2807779530528577e-171
rechazo,0.030688246102111183,5.607765717901253e-103
tipo_gestion_estudia,0.030561778697150883,7.07761696168867e-201
trabaja_agresor,0.03012815207191666,3.565460762758044e-195
latigazo,0.029768170824939242,6.139574589932398e-97
victima_pais_extranjero,0.029659407202268957,8.849328446150207e-111
discapacidad_agresor,0.029606600500017455,2.0051671874053043e-188
actos_contra_el_pudor,0.02911613738356154,9.052578315155709e-93
hijos_vivas_0_17,0.028635691286089063,1.7536773765828055e-162
victima_cuenta_dni,0.02856985607419233,2.3351069036134358e-175
hijos_vivas_18_mas,0.02825762640098654,1.1830113889013556e-154
agresor_pais_extranjero,0.027775927728280327,9.704209679563285e-86
victima_carne_extranjeria,0.027400722621138754,3.4800677720494335e-161
trabaja_victima,0.027250043385211135,2.382562069696594e-81
discr_genero,0.02651356917164116,4.743212295720297e-77
vinculo_afectivo_otro,0.024915853049932556,3.9584519302764724e-68
agresor_carne_extranjeria,0.024898382678931918,7.529034795370067e-133
apoyo_cognitivo,0.024607645908035863,1.4912000285780892e-127
apoyo_material,0.02401891204737661,2.15076671301907e-119
continua_recibiendo_tratamiento,0.023941718217981595,5.820540060373903e-63
n_meses,0.023200203762381997,1.8492804127738454e-98
hijas_vivas,0.022628163928249723,3.0734940251238366e-97
apoyo_instrumental,0.021980186670877585,3.618989521607707e-101
hijos_vivos,0.020910551109718633,3.696867886669171e-80
agresor_area_residencia_domicilio,0.02033973381415351,3.0402219187501e-88
n_semanas,0.020320827665721075,1.6585676561299436e-82
vinculo_afectivo_vecinos,0.01810009224188902,2.6905040535521493e-36
vinculo_afectivo_amigos,0.017092754513786463,1.9005793460496997e-32
lugar_estudia,0.0169961665785084,9.608649231160895e-58
otro_seguro,0.01645720155132632,2.102958824566792e-57
mes,0.013755042211855289,1.454083824899666e-28
tratamiento_psicologico,0.01215585013146717,9.050078902898742e-17
indiferencia,0.011553583943471496,3.213789949095887e-15
estudia,0.009698877536664112,6.118883560528522e-11
ningun_seguro,0.00862682998066393,2.640067877246676e-15
